시나리오_ID,회차,페르소나,질문,Base_GPT_응답,RAG_시스템_응답,Human_Evaluation,만족도(상/중/하)
1,1,20대 자기계발생,"전월 실적 부담 없으면서 대중교통, 학원 혜택이 좋은 체크카드 알려줘.","1. 카드명: 신한카드 The BEST 체크카드
2. 카드사: 신한카드
3. 카드종류: 체크
4. 전월실적: 전월 실적 부담 없음
5. 혜택: 대중교통 할인 및 학원 할인 혜택 제공
6. 해외사용: 가능
7. 추천 이유: 전월 실적 부담 없이 대중교통 할인 및 학원 할인 혜택을 받을 수 있는 카드로, 일상적인 지출에 효율적이고 편리한 체크카드입니다.","1. 카드명: MULTI Any 체크카드
2. 카드사: 하나카드
3. 카드종류: 체크
4. 전월실적: 전월실적 없음
5. 혜택: 대중교통 적립 서비스
6. 해외사용: 국내전용 없음 / 해외겸용 없음
7. 추천 이유: 20대 자기계발생으로 대중교통 이용이 잦은 사용자에게 적합한 카드입니다. MULTI Any 체크카드는 전월 실적이 없으며, 대중교통 적립 서비스를 제공하여 자주 대중교통을 이용하는 사용자에게 실질적인 혜택을 제공합니다.",,
2,1,20대 사회초년생 자취형,"배달 음식과 카페, 온라인 쇼핑에서 자주 쓰기 좋은 체크카드 추천해줘.","1. 카드명: 삼성카드 T멤버십 체크카드
2. 카드사: 삼성카드
3. 카드종류: 체크
4. 전월실적: 없음
5. 혜택: 배달의민족, 스타벅스, 온라인 쇼핑 등 다양한 가맹점에서 할인 혜택 제공
6. 해외사용: 가능
7. 추천 이유: 배달 음식, 카페, 온라인 쇼핑 등 다양한 소비처에서 혜택을 받을 수 있고, 해외에서도 사용할 수 있는 편리한 체크카드입니다.","1. 카드명: 배달의민족 비장의카드 V.2
2. 카드사: 우리카드
3. 카드종류: 체크
4. 전월실적: 전월실적 30만원 이상
5. 혜택: 스타벅스(사이렌오더 포함) 20% 캐시백
6. 해외사용: 국내전용 3,000원 / 해외겸용 3,000원
7. 추천 이유: 20대 사회초년생으로서 배달 음식과 카페를 자주 이용하는 소비 패턴을 고려할 때, 배달의민족 비장의카드는 배달 음식과 카페에서의 혜택이 매력적입니다. 특히 스타벅스에서 20% 캐시백을 제공하여 카페 이용 시 큰 혜택을 누릴 수 있습니다. 다만, 전월 실적이 30만원 이상으로 다소 부담이 될 수 있으나, 배달과 카페 소비가 많다면 충분히 달성할 수 있는 조건입니다.",,
3,1,20대 외출 활동형,카페와 외식 위주로 자주 쓰기 좋은 체크카드를 알려줘.,"1. 카드명: 삼성카드 The 삼성체크카드
2. 카드사: 삼성카드
3. 카드종류: 체크
4. 전월실적: 없음
5. 혜택: 카페 및 외식 결제 시 최대 20% 할인 혜택 제공
6. 해외사용: 가능 (해외 이용 시 추가 수수료 발생)
7. 추천 이유: 카페와 외식에서 자주 사용하는 경우, 해당 업종에서 할인 혜택을 받을 수 있는 삼성카드 The 삼성체크카드가 적합합니다. 할인 혜택을 통해 지출을 절약할 수 있고, 체크카드로 사용하여 신용카드의 부담을 줄일 수 있습니다.","1. 카드명: 트래블러스 체크카드  
2. 카드사: KB국민카드  
3. 카드종류: 체크  
4. 전월실적: 전월실적 20만원 이상  
5. 혜택: [국내 혜택] 카페 1,000원 할인  
6. 해외사용: 국내전용 없음 / 해외겸용 없음  
7. 추천 이유: 20대 외출 활동형 사용자로서 카페와 외식 이용 빈도가 높기 때문에, 트래블러스 체크카드는 카페에서 1,000원 할인을 제공하여 자주 이용하는 카페에서 실질적인 혜택을 누릴 수 있습니다. 전월 실적 조건도 20만원으로 비교적 낮아 부담 없이 사용할 수 있어, 외식과 카페 이용에 최적화된 카드입니다.",,
4,1,30대 출퇴근 직장인,출퇴근 교통비랑 회사 근처 카페 혜택이 집중된 신용카드를 추천해줘.,"1. 카드명: 삼성카드 T멤버십 신용카드
2. 카드사: 삼성카드
3. 카드종류: 신용
4. 전월실적: 30만원 이상
5. 혜택: 교통비 할인 및 카페 할인 혜택 제공
6. 해외사용: 가능
7. 추천 이유: 삼성카드 T멤버십 신용카드는 교통비 할인 및 카페 할인 혜택이 매우 다양하게 제공되는 카드로, 출퇴근 교통비와 회사 근처 카페 이용 시 많은 혜택을 받을 수 있습니다. 또한 해외에서도 사용이 가능하여 다양한 상황에서 유용하게 활용할 수 있습니다.","1. 카드명: 오늘은e 신용카드
2. 카드사: BNK부산은행
3. 카드종류: 신용
4. 전월실적: 30만원 이상
5. 혜택: [생활 할인 서비스] 스타벅스 5% 청구할인, [생활 할인 서비스] 버스, 지하철, 택시 요금 5% 청구할인
6. 해외사용: 국내전용 7,000원 / 해외겸용 10,000원
7. 추천 이유: 30대 출퇴근 직장인으로서 대중교통을 이용하는 당신에게는 버스, 지하철, 택시 요금 5% 청구할인 혜택이 유용합니다. 또한, 회사 근처 카페에서 자주 이용할 수 있는 스타벅스 5% 청구할인 혜택이 있어 점심 외식 후 커피를 즐길 때 경제적인 부담을 줄일 수 있습니다. 이 카드의 혜택은 당신의 소비 패턴에 잘 맞아 최적의 선택이 될 것입니다.",,
5,1,30대 자차 보유 직장인,주유 혜택이 크고 자차 이용자에게 도움이 되는 신용카드를 추천해줘.,"1. 카드명: 씨티 리워드 신용카드
2. 카드사: 씨티은행
3. 카드종류: 신용
4. 전월실적: 상관없음
5. 혜택: 주유소에서 5% 할인 혜택 제공
6. 해외사용: 가능
7. 추천 이유: 씨티 리워드 신용카드는 주유소에서의 5% 할인 혜택을 제공하여 자차 이용자에게 큰 도움이 됩니다. 또한 해외에서도 사용이 가능하므로 해외 여행 시에도 편리하게 이용할 수 있습니다.","1. 카드명: KB차차차 신용카드
2. 카드사: KB국민카드
3. 카드종류: 신용
4. 전월실적: 전월실적 40만원 이상
5. 혜택: 주유소(충전소 포함) 리터당 150원~300원 청구할인
6. 해외사용: 국내전용 30,000원 / 해외겸용 30,000원
7. 추천 이유: 30대 자차 보유 직장인으로서 자차 출퇴근을 하는 사용자에게는 주유비 지출이 크기 때문에, KB차차차 신용카드는 리터당 150원~300원의 청구할인을 제공하여 주유비 절감에 큰 도움이 됩니다. 이 카드의 혜택은 자차 이용자에게 최적화되어 있어, 주유비 부담을 줄이는 데 효과적입니다.",,
6,1,30대 여행 중심형,해외 결제 수수료 혜택이 좋고 여행 시 활용하기 좋은 신용카드를 추천해줘.,"1. 카드명: 삼성카드 The 삼성카드
2. 카드사: 삼성카드
3. 카드종류: 신용
4. 전월실적: 상관없음
5. 혜택: 해외 결제 시 최대 1% 캐시백, 해외 항공권 구매 시 최대 20% 할인 혜택 제공
6. 해외사용: 해외에서도 현지 통화로 결제 가능하며, 해외 결제 시 추가 수수료 없이 이용 가능
7. 추천 이유: 해외 결제 시 수수료 부담을 최소화하면서 혜택도 챙길 수 있는 카드로, 여행 시에도 효율적으로 활용할 수 있습니다.","1. 카드명: 디지로카 Travel 프리미엄
2. 카드사: 롯데카드
3. 카드종류: 신용
4. 전월실적: 전월실적 없음
5. 혜택: 공항라운지 무료 이용 서비스 (AMEX 브랜드 카드 발급 시 제공)
6. 해외사용: 국내전용 100,000원 / 해외겸용 100,000원
7. 추천 이유: 30대 여행 중심형 사용자에게 적합한 카드로, 전월 실적 조건이 없기 때문에 부담 없이 사용할 수 있습니다. 해외 여행 시 공항라운지 무료 이용 혜택이 있어 편안한 여행 준비가 가능하며, 해외 결제 시 수수료 부담이 적어 직구 및 해외 결제 시 유리합니다.",,
7,1,30대 건강관리 소비형,병원이나 헬스장 지출에 혜택을 받을 수 있는 신용카드를 알려줘.,"1. 카드명: 삼성카드 미래설계 신용카드
2. 카드사: 삼성카드
3. 카드종류: 신용
4. 전월실적: 없음
5. 혜택: 병원 및 헬스장 이용금액에 대해 최대 20% 할인 혜택 제공
6. 해외사용: 가능
7. 추천 이유: 병원 및 헬스장 이용에 대한 할인 혜택이 매우 유용하며, 다양한 혜택과 편의 서비스를 제공하여 신용카드로서 다양한 용도로 활용할 수 있습니다.","1. 카드명: 신한카드 Mr.Life
2. 카드사: 신한카드
3. 카드종류: 신용
4. 전월실적: 전월실적 30만원 이상
5. 혜택: 병원/약국업종 10% 할인
6. 해외사용: 해외겸용 15,000원
7. 추천 이유: 30대 건강관리 소비형인 사용자에게 적합한 카드로, 병원과 약국에서 10% 할인 혜택을 제공하여 자주 이용하는 의료비 지출에 실질적인 절감 효과를 줍니다. 헬스장 이용 시에도 의료 관련 지출이 발생할 수 있어, 건강 관리에 대한 소비 패턴과 잘 맞아떨어집니다.",,
8,1,40대 가족 생활형,대형마트 장보기랑 생활비 지출에 혜택이 좋은 신용카드를 추천해줘.,"1. 카드명: 삼성카드 T멤버십 신용카드
2. 카드사: 삼성카드
3. 카드종류: 신용
4. 전월실적: 없음
5. 혜택: 대형마트 및 온라인 쇼핑몰에서 캐시백 혜택 제공, 생활용품 구매 시 할인 혜택 제공
6. 해외사용: 해외에서도 사용 가능하며 해외 쇼핑 및 해외 온라인 쇼핑 시 적극적인 할인 및 혜택 제공
7. 추천 이유: 대형마트에서의 쇼핑 및 생활비 지출에 대한 혜택이 풍부하며, 해외에서도 다양한 혜택을 누릴 수 있는 카드입니다. 생활 속 소비에 맞는 다양한 혜택을 제공하여 소비자들에게 많은 인기를 얻고 있습니다.","1. 카드명: 부자되세요 The Oil 카드
2. 카드사: BC 바로카드
3. 카드종류: 신용
4. 전월실적: 30만원 이상
5. 혜택: 대형마트 5% 청구할인, 온라인쇼핑 10% 청구할인
6. 해외사용: 해외겸용 5,000원
7. 추천 이유: 40대 가족 생활형으로 대형마트에서 장보기와 생활비 지출이 많으신 사용자에게 적합합니다. 이 카드는 대형마트에서 5% 청구할인을 제공하여 장보기 비용을 절감할 수 있으며, 생활비 관리에 유리한 혜택을 제공합니다. 또한, 온라인쇼핑에서도 10% 청구할인을 받을 수 있어 다양한 소비 패턴에 맞춰 활용할 수 있습니다.",,
9,1,40대 교육비 집중형,자녀 학원비 결제 시 혜택을 받을 수 있는 신용카드를 알려줘.,"1. 카드명: 삼성카드 삼성페이카드
2. 카드사: 삼성카드
3. 카드종류: 신용
4. 전월실적: 없음
5. 혜택: 자녀 학원비 결제 시 최대 5% 캐시백 혜택 제공
6. 해외사용: 가능
7. 추천 이유: 자녀 학원비 결제 시 캐시백 혜택을 받을 수 있어 가정 경제를 돕는 데 도움이 되며, 해외에서도 사용이 가능하여 다양한 상황에서 편리하게 이용할 수 있습니다.","1. 카드명: 신한카드 국민행복
2. 카드사: 신한카드
3. 카드종류: 신용
4. 전월실적: 전월실적 30만원 이상
5. 혜택: 어린이집/유치원 중 부모부담금, 학원, 인터넷서점 (YES24, 알라딘, 교보문고) 10% 결제일 할인
6. 해외사용: 국내전용 없음 / 해외겸용 없음
7. 추천 이유: 40대 교육비 집중형 페르소나에게 적합한 카드로, 자녀의 학원비 결제 시 10% 할인 혜택을 제공하여 교육비 부담을 줄일 수 있습니다. 학원비 결제 비중이 큰 사용자에게 매우 유용한 카드입니다.",,
10,1,디지털 구독 소비형,온라인 결제나 구독 서비스에서 할인/적립이 있는 체크카드 추천해줘.,"1. 카드명: 삼성카드 The 삼성체크
2. 카드사: 삼성카드
3. 카드종류: 체크
4. 전월실적: 없음
5. 혜택: 온라인 쇼핑 및 구독 서비스 이용 시 캐시백 혜택 제공
6. 해외사용: 가능
7. 추천 이유: 온라인 결제 및 구독 서비스 이용 시 캐시백 혜택이 있어 매우 유용하며, 해외에서도 사용이 가능하여 다양한 상황에서 효율적으로 활용할 수 있습니다.","1. 카드명: 신한카드 국민행복 체크
2. 카드사: 신한카드
3. 카드종류: 체크
4. 전월실적: 전월실적 30만원 이상
5. 혜택: 넷플릭스, 유튜브프리미엄 50% 할인 / 네이버-플러스멤버쉽, 쿠팡-로켓와우, 롯데ON-롯데오너스 3천원 할인
6. 해외사용: 국내전용 없음 / 해외겸용 없음
7. 추천 이유: 사용자가 디지털 구독 소비형으로 OTT와 구독 서비스에 관심이 많기 때문에, 넷플릭스와 유튜브프리미엄에서 50% 할인 혜택을 제공하는 이 카드는 매우 적합합니다. 또한, 추가적인 할인 혜택으로 네이버, 쿠팡, 롯데ON에서의 할인도 있어 온라인 쇼핑에서도 유용하게 사용할 수 있습니다.",,
