시나리오_ID,회차,페르소나,질문,Base_GPT_응답,RAG_시스템_응답,Human_Evaluation,만족도(상/중/하)
1,1,20대 알뜰 대학생(취준생),"실적 안 채워도 대중교통이랑 커피, 편의점 할인이 많이 되는 체크카드 추천해줘. 대학생이라 연회비 없는 게 좋아.","1. 카드명: 신한카드 The BEST 체크카드
2. 카드사: 신한카드
3. 카드종류: 체크
4. 전월실적: 미정
5. 혜택: 대중교통(지하철, 버스) 할인 및 커피전문점, 편의점 할인 제공
6. 해외사용: 가능
7. 추천 이유: 대중교통 할인 및 커피, 편의점 할인 혜택이 매우 유용하며, 연회비가 없어 대학생에게 부담이 적습니다.","1. 카드명: 땡겨요 신한카드 체크(라이더형)  
2. 카드사: 신한카드  
3. 카드종류: 체크  
4. 전월실적: 전월실적 없음  
5. 혜택: 편의점 이용금액 마이신한포인트 0.2% 추가 적립  
6. 해외사용: 국내전용 없음 / 해외겸용 없음  
7. 추천 이유: 이 카드는 전월 실적이 없어서 실적 부담이 없는 점이 가장 큰 장점입니다. 대학생으로서 수입이 불규칙한 상황에서 부담 없이 사용할 수 있습니다. 또한, 편의점 도시락을 자주 이용하는 소비 패턴에 맞춰 편의점에서의 추가 적립 혜택이 있어, 카공족으로서 저가 커피를 자주 구매하는 데에도 유용합니다. 대중교통 이용 시에는 별도의 혜택이 없지만, 실적 부담 없이 다양한 소비에 활용할 수 있는 점에서 추천합니다.",,
2,1,20대 사회초년생 자취러,배달 앱이랑 온라인 쇼핑 혜택이 제일 큰 체크카드 알려줘. 자취하면서 나가는 고정비도 조금이라도 환급받고 싶어.,"1. 카드명: 삼성카드 T멤버십 체크카드
2. 카드사: 삼성카드
3. 카드종류: 체크
4. 전월실적: 없음
5. 혜택: 배달앱 결제 시 최대 20% 캐시백, 온라인 쇼핑몰 결제 시 최대 10% 캐시백, 고정비용 환급 프로그램 제공
6. 해외사용: 가능
7. 추천 이유: 배달앱 결제와 온라인 쇼핑몰 결제 시 캐시백 혜택이 매우 유리하며, 고정비용 환급 프로그램을 통해 자취하면서 나가는 고정비용도 일부 환급받을 수 있습니다.","1. 카드명: Point Plan 체크(SOL 모임)  
2. 카드사: 신한카드  
3. 카드종류: 체크  
4. 전월실적: 없음  
5. 혜택: [주말 배달앱 적립] 필수 생활비 - 주말 배달앱 적립  
6. 해외사용: 해외겸용 없음  
7. 추천 이유: 20대 사회초년생 자취러로서 배달의민족을 자주 이용하는 당신에게 적합한 카드입니다. 이 카드는 전월 실적 조건이 없기 때문에 부담 없이 사용할 수 있으며, 주말에 배달앱을 이용할 때 적립 혜택을 제공합니다. 자취 생활에서 발생하는 고정비를 조금이라도 환급받고 싶다는 니즈에 부합하며, 자주 이용하는 배달 앱에서의 혜택을 극대화할 수 있습니다.",,
3,1,20대 힙스터 외출형,"맛집이나 카페, 영화관에서 할인 많이 되는 체크카드 있어? 소액 결제할 때마다 포인트 쌓이는 게 체감이 컸으면 좋겠어.","1. 카드명: 삼성카드 T멤버십 체크카드
2. 카드사: 삼성카드
3. 카드종류: 체크
4. 전월실적: 없음
5. 혜택: 맛집, 카페, 영화관 할인 혜택 제공 및 사용금액에 따라 T멤버십 포인트 적립
6. 해외사용: 가능
7. 추천 이유: 삼성카드 T멤버십 체크카드는 다양한 맛집, 카페, 영화관에서 할인 혜택을 제공하며, 사용금액에 따라 T멤버십 포인트를 쌓을 수 있어 소액 결제 시에도 포인트를 쌓기에 좋습니다. 해외에서도 사용이 가능하므로 다양한 상황에서 활용할 수 있습니다.","1. 카드명: 탐나는전 체크카드
2. 카드사: KB국민카드
3. 카드종류: 체크
4. 전월실적: 전월실적 10만원 이상
5. 혜택: 음식점, 커피전문점 업종 0.2% 추가 포인트리 적립
6. 해외사용: 국내전용 없음
7. 추천 이유: 20대 힙스터 외출형인 당신은 맛집 탐방과 카페 방문이 잦습니다. 탐나는전 체크카드는 음식점과 커피전문점에서 0.2%의 추가 포인트를 적립해주기 때문에 소액 결제를 자주 하는 당신에게 적합합니다. 또한, 전월 실적이 10만원으로 낮아 부담 없이 사용할 수 있어, 다양한 핫플레이스에서의 소비를 통해 포인트를 쌓는 재미를 느낄 수 있습니다.",,
4,1,30대 광역버스 출퇴근러,광역버스나 지하철 교통비 혜택이 가장 큰 신용카드 추천해줘. 매일 먹는 점심 식대랑 스타벅스 할인도 꼭 포함되면 좋겠어.,"1. 카드명: 삼성카드 The 삼성카드
2. 카드사: 삼성카드
3. 카드종류: 신용
4. 전월실적: 0원 이상
5. 혜택: 
   - 대중교통 이용 시 10% 할인
   - 매월 1회 무료 교통비 혜택
   - 매일 점심 20% 할인
   - 스타벅스 10% 할인
6. 해외사용: 가능
7. 추천 이유: 교통비 할인 혜택이 크고, 매일 먹는 점심과 스타벅스 할인도 제공하여 일상 속에서 다양한 혜택을 누릴 수 있습니다. 해외에서도 사용이 가능하여 다양한 상황에서 효율적으로 이용할 수 있습니다.","1. 카드명: 신세계 BC 바로 클리어 플러스
2. 카드사: BC 바로카드
3. 카드종류: 신용
4. 전월실적: 전월실적 20만원 이상
5. 혜택: [매일할인] 점심식사·배달앱·대중교통 5% 할인
6. 해외사용: 국내전용 5,000원 / 해외겸용 5,000원
7. 추천 이유: 30대 광역버스 출퇴근러인 사용자에게 적합한 카드입니다. 이 카드는 대중교통 이용 시 5% 할인을 제공하여 매달 10만 원 이상의 교통비를 지출하는 사용자에게 큰 혜택을 줍니다. 또한, 점심 식사와 배달앱에서도 5% 할인이 적용되어, 회사 근처 식당에서의 점심 비용을 절감할 수 있습니다. 스타벅스와 같은 프랜차이즈 카페 방문 시에도 혜택을 누릴 수 있어, 사용자의 소비 패턴에 잘 맞는 카드입니다.",,
5,1,30대 자차 보유 프로운전러,리터당 주유 할인이나 포인트 적립이 제일 많이 되는 신용카드 알려줘. 주차장 할인이나 정비소 혜택도 같이 있으면 좋아.,"1. 카드명: 삼성카드 주유/주차/정비
2. 카드사: 삼성카드
3. 카드종류: 신용
4. 전월실적: 상관없음
5. 혜택: 주유소 할인, 주차장 할인, 정비소 할인, 적립금
6. 해외사용: 가능
7. 추천 이유: 삼성카드 주유/주차/정비 카드는 주유소 할인뿐만 아니라 주차장 할인, 정비소 할인 등 다양한 혜택을 제공하여 자동차 관련 비용을 절감할 수 있습니다. 또한 해외에서도 사용이 가능하여 해외여행 시에도 유용하며, 적립된 혜택은 다양한 방법으로 활용할 수 있어 매우 유용한 카드입니다.","1. 카드명: KB차차차 신용카드
2. 카드사: KB국민카드
3. 카드종류: 신용
4. 전월실적: 전월실적 40만원 이상
5. 혜택: 주유소(충전소 포함) 리터당 150원~300원 청구할인, 차량정비, 주차장, 세차장 업종 10% 청구할인
6. 해외사용: 국내전용 30,000원 / 해외겸용 30,000원
7. 추천 이유: 30대 자차 보유 프로운전러인 사용자에게는 주유비 지출이 많고 차량 유지비 관리에 집중하는 특성이 있습니다. KB차차차 신용카드는 리터당 150원~300원의 주유 할인 혜택을 제공하여 주유비 절감에 큰 도움이 되며, 차량정비와 주차장 이용 시 10% 청구할인 혜택도 있어 차량 유지비 관리에 최적화된 카드입니다.",,
6,1,30대 여행 매니아(직구족),해외 결제 수수료가 없고 라운지 무료 이용이 가능한 여행 특화 신용카드 추천해줘. 직구할 때도 적립되는 카드가 필요해.,"1. 카드명: 씨티프레스티지
2. 카드사: 씨티은행
3. 카드종류: 신용
4. 전월실적: 없음
5. 혜택: 해외 결제 시 수수료 면제, 공항 라운지 무료 이용, 직구 시 적립
6. 해외사용: 해외 결제 시 수수료 면제
7. 추천 이유: 해외 결제 시 수수료가 없고, 공항 라운지 무료 이용이 가능하며, 직구 시에도 적립이 되어 여행 특화로 매우 유용한 카드입니다.","1. 카드명: 신세계 트래블GO 하나카드
2. 카드사: 하나카드
3. 카드종류: 신용
4. 전월실적: 전월실적 없음
5. 혜택: 해외 이용수수료 면제 서비스 (외화 하나머니 결제 시), 전세계 공항 라운지 무료 이용 (본인 연 2회, 월 1회)
6. 해외사용: 국내전용 20,000원 / 해외겸용 20,000원
7. 추천 이유: 30대 여행 매니아인 사용자에게 적합한 카드로, 해외 결제 시 수수료가 면제되어 직구를 자주 이용하는 패턴에 잘 맞습니다. 또한, 공항 라운지 무료 이용 혜택이 있어 연 2회 해외 여행 시 편리하게 사용할 수 있습니다.",,
7,1,30대 갓생 건강러,"헬스장이나 필라테스 같은 운동 시설, 그리고 병원/약국에서 혜택이 집중된 신용카드 알려줘. 건강기능식품 구매 혜택도 궁금해.","1. 카드명: 삼성카드 헬스플러스 신용카드
2. 카드사: 삼성카드
3. 카드종류: 신용
4. 전월실적: 없음
5. 혜택: 헬스장, 필라테스, 병원, 약국 이용 시 캐시백 및 할인 혜택 제공. 건강기능식품 구매 시 할인 혜택 제공.
6. 해외사용: 가능
7. 추천 이유: 삼성카드 헬스플러스 신용카드는 건강 관련 지출에 집중된 혜택을 제공하여 헬스장, 필라테스, 병원, 약국 이용 시 혜택을 받을 수 있습니다. 또한, 건강기능식품 구매 시에도 할인 혜택을 제공하여 건강에 관심이 많은 분들에게 적합한 카드입니다.","1. 카드명: 신한라이프 THE PRIDE 신한카드
2. 카드사: 신한카드
3. 카드종류: 신용
4. 전월실적: 전월실적 없음
5. 혜택: 스포츠 및 헬스 업종 할인
6. 해외사용: 국내전용 15,000원 / 해외겸용 18,000원
7. 추천 이유: 30대 갓생 건강러인 당신은 주 4회 헬스장 출석과 필라테스 및 요가 수강으로 운동에 많은 관심을 가지고 있습니다. 신한라이프 THE PRIDE 신한카드는 전월 실적 조건이 없기 때문에 부담 없이 사용할 수 있으며, 스포츠 및 헬스 업종에서 할인 혜택을 제공하여 헬스장 이용 시 유용합니다. 또한, 병원/약국에서의 혜택도 포함되어 있어 정기적인 치과 및 피부과 진료로 인한 병원비 지출을 줄이는 데 도움이 될 것입니다. 건강기능식품 구매에 대한 직접적인 혜택은 없지만, 헬스 관련 혜택이 당신의 라이프스타일에 잘 맞아떨어집니다.",,
8,1,40대 생활비 만렙 주부,마트 장보기 할인율이 높고 아파트 관리비랑 공과금 결제할 때 혜택을 받을 수 있는 생활비 신용카드 추천해줘.,"1. 카드명: 삼성카드 The 삼성카드
2. 카드사: 삼성카드
3. 카드종류: 신용
4. 전월실적: 0원 이상
5. 혜택: 마트 할인 혜택 및 아파트 관리비 및 공과금 결제 시 캐시백 혜택 제공
6. 해외사용: 가능
7. 추천 이유: 삼성카드 The 삼성카드는 다양한 생활비에서 혜택을 받을 수 있는데, 특히 마트 할인율이 높고 아파트 관리비 및 공과금 결제 시 캐시백 혜택을 제공하여 생활비를 절감할 수 있습니다. 또한 해외에서도 사용이 가능하여 다양한 상황에서 편리하게 이용할 수 있습니다.","1. 카드명: 부자되세요 The Oil 카드
2. 카드사: BC 바로카드
3. 카드종류: 신용
4. 전월실적: 전월실적 30만원 이상
5. 혜택: 대형마트 5% 청구할인
6. 해외사용: 해외겸용 5,000원
7. 추천 이유: 40대 생활비 만렙 주부인 사용자에게 적합한 카드로, 대형마트에서 장보기를 자주 하는 패턴에 맞춰 5% 청구할인을 제공합니다. 또한, 아파트 관리비와 공과금을 카드로 결제할 때도 혜택을 받을 수 있어, 고정비를 효율적으로 관리할 수 있습니다.",,
9,1,40대 교육열 부모님,학원비 결제 시 할인 한도가 큰 신용카드 위주로 알려줘. 교육비 결제 금액이 커서 실적 채우기는 쉬운 편이야.,"1. 카드명: 삼성카드 The LEEUM
2. 카드사: 삼성카드
3. 카드종류: 신용
4. 전월실적: 전월실적에 따라 할인 혜택이 달라짐
5. 혜택: 교육비 할인 혜택 제공 (최대 30% 할인), 교육/학원 관련 적립 및 할인 혜택
6. 해외사용: 가능
7. 추천 이유: 교육비 결제 시 할인 혜택이 크고, 교육/학원 관련 혜택이 다양하여 교육비 결제에 적합한 카드입니다.","1. 카드명: 신한카드 Edu Plan+
2. 카드사: 신한카드
3. 카드종류: 신용
4. 전월실적: 전월실적 50만원 이상
5. 혜택: [학원비] 최대 10% 캐시백 (전월실적 30만원 이상)
6. 해외사용: 국내전용 40,000원 / 해외겸용 43,000원
7. 추천 이유: 40대 교육열 부모님으로서 중/고등학생 자녀의 학원비 지출이 크신 만큼, 신한카드 Edu Plan+는 학원비에 대해 최대 10% 캐시백 혜택을 제공하여 실질적인 비용 절감이 가능합니다. 전월 실적이 50만원 이상이지만, 자녀 교육비로 쉽게 채울 수 있는 금액이므로 부담이 적습니다.",,
10,1,2030 디지털 노마드(구독러),OTT 구독료랑 무신사 같은 쇼핑몰에서 혜택이 좋은 체크카드 추천해줘. 배달이나 편의점도 자주 이용해.,"1. 카드명: 삼성카드 The 삼성체크플러스
2. 카드사: 삼성카드
3. 카드종류: 체크
4. 전월실적: 없음
5. 혜택: OTT 서비스 결제 시 할인 혜택 제공, 무신사, 배달의민족, GS25, CU 등 다양한 가맹점 할인 혜택 제공
6. 해외사용: 가능
7. 추천 이유: OTT 구독료 결제 시 할인 혜택과 무신사, 배달의민족, 편의점 등 다양한 가맹점에서 혜택을 받을 수 있어서 일상적인 소비에 효율적이며, 해외에서도 사용 가능하여 다양한 상황에서 편리하게 이용할 수 있습니다.","1. 카드명: 영리한 PLUS 체크카드
2. 카드사: 우체국
3. 카드종류: 체크
4. 전월실적: 전월실적 30만원 이상
5. 혜택: 유튜브프리미엄, 넷플릭스, 웨이브, 티빙, 멜론, 지니 20% 캐시백 / 11번가, G마켓, 옥션, 쿠팡, 위메프, 티몬 15% 캐시백
6. 해외사용: 해외겸용 없음
7. 추천 이유: 2030 디지털 노마드인 사용자는 OTT 서비스에 대한 구독이 많고, 패션 쇼핑을 자주 하므로 영리한 PLUS 체크카드는 유튜브프리미엄과 넷플릭스 등 주요 OTT 서비스에서 20% 캐시백을 제공하여 구독료 부담을 줄여줍니다. 또한, 11번가, G마켓, 쿠팡 등에서 15% 캐시백 혜택이 있어 무신사와 같은 쇼핑몰에서의 패션 구매 시에도 유리합니다.",,
