시나리오_ID,회차,페르소나,질문,Base_GPT_응답,RAG_시스템_응답,Human_Evaluation,만족도(상/중/하)
1,1,20대 알뜰 대학생(취준생),"실적 안 채워도 대중교통이랑 커피, 편의점 할인이 많이 되는 체크카드 추천해줘. 대학생이라 연회비 없는 게 좋아.","1. 카드명: 신한카드 The BEST 체크카드
2. 카드사: 신한카드
3. 카드종류: 체크
4. 전월실적: 미정
5. 혜택: 대중교통(지하철, 버스) 이용 시 최대 20% 할인, 커피전문점 30% 할인, GS25 편의점 5% 할인
6. 해외사용: 불가능
7. 추천 이유: 대중교통, 커피, 편의점 할인 혜택이 매우 유용하며, 연회비가 없어 대학생에게 부담이 적습니다.","1. 카드명: 땡겨요 신한카드 체크(라이더형)  
2. 카드사: 신한카드  
3. 카드종류: 체크  
4. 전월실적: 전월실적 없음  
5. 혜택: 편의점 이용금액 마이신한포인트 0.2% 추가 적립  
6. 해외사용: 국내전용 없음 / 해외겸용 없음  
7. 추천 이유: 이 카드는 전월 실적이 없어서 실적 부담이 없는 점이 가장 큰 장점입니다. 대학생으로서 수입이 불규칙한 상황에서 부담 없이 사용할 수 있습니다. 또한, 편의점에서 도시락을 자주 구매하는 패턴에 맞춰 편의점 이용 시 추가 적립 혜택이 있어, 자주 이용하는 카공족에게 적합합니다. 대중교통 할인은 없지만, 편의점 할인으로 식비를 절약할 수 있어 경제적인 선택이 될 것입니다.",,
1,2,20대 알뜰 대학생(취준생),"실적 안 채워도 대중교통이랑 커피, 편의점 할인이 많이 되는 체크카드 추천해줘. 대학생이라 연회비 없는 게 좋아.","1. 카드명: 신한카드 The BEST 체크카드
2. 카드사: 신한카드
3. 카드종류: 체크
4. 전월실적: 미정
5. 혜택: 대중교통(지하철, 버스) 이용 시 최대 20% 할인, 커피전문점 10% 할인, GS25 편의점 5% 할인
6. 해외사용: 불가능
7. 추천 이유: 대중교통, 커피, 편의점 할인 혜택이 매우 유용하며, 연회비가 없어 대학생에게 부담이 적습니다. 해외사용은 불가능하지만 국내 이용에 특화된 혜택이 많아 많은 대학생들에게 적합한 카드입니다.","1. 카드명: 땡겨요 신한카드 체크(라이더형)  
2. 카드사: 신한카드  
3. 카드종류: 체크  
4. 전월실적: 전월실적 없음  
5. 혜택: 편의점 이용금액 마이신한포인트 0.2% 추가 적립  
6. 해외사용: 국내전용 없음 / 해외겸용 없음  
7. 추천 이유: 이 카드는 전월 실적이 없어서 실적 부담이 없는 점이 가장 큰 장점입니다. 대학생으로서 수입이 불규칙한 상황에서 부담 없이 사용할 수 있습니다. 또한, 편의점 도시락을 자주 이용하는 소비 패턴에 맞춰 편의점에서의 추가 적립 혜택이 있어, 카공족으로서의 커피 소비와 함께 유용하게 사용할 수 있습니다.",,
1,3,20대 알뜰 대학생(취준생),"실적 안 채워도 대중교통이랑 커피, 편의점 할인이 많이 되는 체크카드 추천해줘. 대학생이라 연회비 없는 게 좋아.","1. 카드명: 신한카드 The BEST 체크
2. 카드사: 신한카드
3. 카드종류: 체크
4. 전월실적: 전월 실적 없이도 혜택 제공
5. 혜택: 대중교통(지하철, 버스) 할인 및 커피, 편의점 할인 제공
6. 해외사용: 해외 사용 불가
7. 추천 이유: 연회비가 없고, 대중교통 할인 및 커피, 편의점 할인 혜택이 많이 제공되어 대학생에게 적합한 카드입니다. 실적을 채우지 않아도 혜택을 받을 수 있어 부담 없이 사용할 수 있습니다.","1. 카드명: 땡겨요 신한카드 체크(라이더형)  
2. 카드사: 신한카드  
3. 카드종류: 체크  
4. 전월실적: 전월실적 없음  
5. 혜택: 편의점 이용금액 마이신한포인트 0.2% 추가 적립  
6. 해외사용: 국내전용 없음 / 해외겸용 없음  
7. 추천 이유: 이 카드는 전월 실적이 없어서 실적 부담이 없는 점이 가장 큰 장점입니다. 대학생으로서 수입이 불규칙한 상황에서 부담 없이 사용할 수 있습니다. 또한, 편의점 도시락을 자주 이용하는 소비 패턴에 맞춰 편의점에서의 추가 적립 혜택이 있어, 카공족으로서 저가 커피를 자주 구매하는 데에도 유용합니다. 대중교통 이용 시에는 별도의 혜택이 없지만, 실적 부담 없이 다양한 소비에 활용할 수 있는 점에서 추천합니다.",,
1,4,20대 알뜰 대학생(취준생),"실적 안 채워도 대중교통이랑 커피, 편의점 할인이 많이 되는 체크카드 추천해줘. 대학생이라 연회비 없는 게 좋아.","1. 카드명: 신한카드 The BEST 체크카드
2. 카드사: 신한카드
3. 카드종류: 체크
4. 전월실적: 미정
5. 혜택: 대중교통(지하철, 버스) 이용 시 최대 20% 할인, 커피전문점 10% 할인, GS25 편의점 5% 할인
6. 해외사용: 불가능
7. 추천 이유: 대중교통, 커피, 편의점 할인 혜택이 매우 유용하며, 연회비가 없어 대학생에게 부담이 적습니다. 해외사용은 불가능하지만 국내 이용에 특화된 혜택이 많아 많은 대학생들에게 적합한 카드입니다.","1. 카드명: 땡겨요 신한카드 체크(라이더형)  
2. 카드사: 신한카드  
3. 카드종류: 체크  
4. 전월실적: 전월실적 없음  
5. 혜택: 편의점 이용금액 마이신한포인트 0.2% 추가 적립  
6. 해외사용: 국내전용 없음 / 해외겸용 없음  
7. 추천 이유: 이 카드는 전월 실적이 없어서 실적 부담이 없는 점이 가장 큰 장점입니다. 대학생으로서 수입이 불규칙한 상황에서 부담 없이 사용할 수 있습니다. 또한, 편의점에서 도시락을 자주 구매하는 소비 패턴에 맞춰 편의점 이용 시 추가 적립 혜택이 있어 유용합니다. 대중교통 이용에 대한 직접적인 혜택은 없지만, 실적 부담 없이 다양한 소비에 활용할 수 있는 점에서 추천드립니다.",,
1,5,20대 알뜰 대학생(취준생),"실적 안 채워도 대중교통이랑 커피, 편의점 할인이 많이 되는 체크카드 추천해줘. 대학생이라 연회비 없는 게 좋아.","1. 카드명: 신한카드 The BEST 체크카드
2. 카드사: 신한카드
3. 카드종류: 체크
4. 전월실적: 미정
5. 혜택: 대중교통(지하철, 버스) 할인 및 커피, 편의점 할인 제공
6. 해외사용: 가능
7. 추천 이유: 대중교통 할인 및 커피, 편의점 할인 혜택이 매우 유용하며, 연회비가 없어 대학생에게 부담이 적습니다.","1. 카드명: 땡겨요 신한카드 체크(라이더형)  
2. 카드사: 신한카드  
3. 카드종류: 체크  
4. 전월실적: 전월실적 없음  
5. 혜택: 편의점 이용금액 마이신한포인트 0.2% 추가 적립  
6. 해외사용: 국내전용 없음 / 해외겸용 없음  
7. 추천 이유: 이 카드는 전월 실적이 없어서 실적 부담이 없는 점이 가장 큰 장점입니다. 대학생으로서 수입이 불규칙한 상황에서 부담 없이 사용할 수 있습니다. 또한, 편의점 도시락을 자주 이용하는 소비 패턴에 맞춰 편의점에서의 추가 적립 혜택이 있어, 카공족으로서 커피와 간단한 식사를 저렴하게 해결할 수 있습니다.",,
1,6,20대 알뜰 대학생(취준생),"실적 안 채워도 대중교통이랑 커피, 편의점 할인이 많이 되는 체크카드 추천해줘. 대학생이라 연회비 없는 게 좋아.","1. 카드명: 신한카드 The BEST 체크카드
2. 카드사: 신한카드
3. 카드종류: 체크
4. 전월실적: 미정
5. 혜택: 대중교통(지하철, 버스) 이용 시 최대 20% 할인, 커피전문점 10% 할인, GS25 편의점 5% 할인
6. 해외사용: 불가능
7. 추천 이유: 대중교통, 커피, 편의점 할인 혜택이 매우 유용하며 연회비가 없어 대학생에게 부담이 적습니다.","1. 카드명: 땡겨요 신한카드 체크(라이더형)  
2. 카드사: 신한카드  
3. 카드종류: 체크  
4. 전월실적: 전월실적 없음  
5. 혜택: 편의점 이용금액 마이신한포인트 0.2% 추가 적립  
6. 해외사용: 국내전용 없음 / 해외겸용 없음  
7. 추천 이유: 이 카드는 전월 실적이 없어서 실적 부담이 없는 대학생에게 적합합니다. 또한, 편의점에서 자주 도시락을 구매하는 소비 패턴에 맞춰 편의점 이용 시 추가 적립 혜택이 있어 알뜰하게 사용할 수 있습니다. 대중교통 이용 시에는 별도의 혜택이 없지만, 실적 부담 없이 다양한 소비에 유연하게 대응할 수 있는 점이 큰 장점입니다.",,
1,7,20대 알뜰 대학생(취준생),"실적 안 채워도 대중교통이랑 커피, 편의점 할인이 많이 되는 체크카드 추천해줘. 대학생이라 연회비 없는 게 좋아.","1. 카드명: 신한카드 The BEST 체크카드
2. 카드사: 신한카드
3. 카드종류: 체크
4. 전월실적: 미정
5. 혜택: 대중교통(지하철, 버스) 할인 및 커피, 편의점 할인 제공
6. 해외사용: 가능
7. 추천 이유: 대중교통 할인 및 커피, 편의점 할인 혜택이 매우 유용하며, 연회비가 없어 대학생에게 부담이 적습니다. 해외에서도 사용이 가능하여 다양한 상황에서 편리하게 이용할 수 있습니다.","1. 카드명: 땡겨요 신한카드 체크(라이더형)  
2. 카드사: 신한카드  
3. 카드종류: 체크  
4. 전월실적: 전월실적 없음  
5. 혜택: 편의점 이용금액 마이신한포인트 0.2% 추가 적립  
6. 해외사용: 국내전용 없음 / 해외겸용 없음  
7. 추천 이유: 이 카드는 전월 실적이 없어서 실적 부담이 없는 점이 가장 큰 장점입니다. 대학생으로서 수입이 불규칙한 상황에서 부담 없이 사용할 수 있습니다. 또한, 편의점 도시락을 자주 이용하는 소비 패턴에 맞춰 편의점에서의 추가 적립 혜택이 있어, 카공족으로서 저가 커피를 자주 구매하는 데에도 유용합니다. 대중교통 이용 시에는 별도의 혜택이 없지만, 실적 부담 없이 다양한 소비에 활용할 수 있는 점에서 추천합니다.",,
1,8,20대 알뜰 대학생(취준생),"실적 안 채워도 대중교통이랑 커피, 편의점 할인이 많이 되는 체크카드 추천해줘. 대학생이라 연회비 없는 게 좋아.","1. 카드명: 신한카드 The BEST 체크카드
2. 카드사: 신한카드
3. 카드종류: 체크
4. 전월실적: 미정
5. 혜택: 대중교통(지하철, 버스) 이용 시 최대 20% 할인, 커피전문점 10% 할인, GS25 편의점 5% 할인
6. 해외사용: 불가능
7. 추천 이유: 대중교통, 커피, 편의점 할인 혜택이 매우 유용하며, 연회비가 없어 대학생에게 부담이 적습니다.","1. 카드명: 땡겨요 신한카드 체크(라이더형)  
2. 카드사: 신한카드  
3. 카드종류: 체크  
4. 전월실적: 전월실적 없음  
5. 혜택: 편의점 이용금액 마이신한포인트 0.2% 추가 적립  
6. 해외사용: 국내전용 없음 / 해외겸용 없음  
7. 추천 이유: 이 카드는 전월 실적이 없어서 실적 부담이 없는 점이 가장 큰 장점입니다. 대학생으로서 수입이 불규칙한 상황에서 부담 없이 사용할 수 있습니다. 또한, 편의점 도시락을 자주 이용하는 소비 패턴에 맞춰 편의점에서의 추가 적립 혜택이 있어, 카공족으로서 저렴한 식사를 해결하는 데 유용합니다. 대중교통 이용 시에는 다른 카드와 함께 사용하여 추가 혜택을 누릴 수 있습니다.",,
1,9,20대 알뜰 대학생(취준생),"실적 안 채워도 대중교통이랑 커피, 편의점 할인이 많이 되는 체크카드 추천해줘. 대학생이라 연회비 없는 게 좋아.","1. 카드명: 신한카드 The BEST 체크카드
2. 카드사: 신한카드
3. 카드종류: 체크
4. 전월실적: 미정
5. 혜택: 대중교통(지하철, 버스) 할인 및 커피, 편의점 할인 제공
6. 해외사용: 가능
7. 추천 이유: 대중교통 할인 및 커피, 편의점 할인 혜택이 매우 유용하며, 연회비가 없어 대학생에게 부담이 적습니다. 해외에서도 사용이 가능하여 다양한 상황에서 편리하게 이용할 수 있습니다.","1. 카드명: 땡겨요 신한카드 체크(라이더형)  
2. 카드사: 신한카드  
3. 카드종류: 체크  
4. 전월실적: 전월실적 없음  
5. 혜택: 편의점 이용금액 마이신한포인트 0.2% 추가 적립  
6. 해외사용: 국내전용 없음 / 해외겸용 없음  
7. 추천 이유: 이 카드는 전월 실적이 없어서 실적 부담이 없는 점이 가장 큰 장점입니다. 대학생으로서 수입이 불규칙한 상황에서 부담 없이 사용할 수 있습니다. 또한, 편의점 도시락을 자주 이용하는 소비 패턴에 맞춰 편의점에서의 추가 적립 혜택이 있어, 카공족으로서 스타디카페와 저가 커피를 자주 이용하는 당신에게도 유용할 것입니다.",,
1,10,20대 알뜰 대학생(취준생),"실적 안 채워도 대중교통이랑 커피, 편의점 할인이 많이 되는 체크카드 추천해줘. 대학생이라 연회비 없는 게 좋아.","1. 카드명: 신한카드 The BEST 체크카드
2. 카드사: 신한카드
3. 카드종류: 체크
4. 전월실적: 미정
5. 혜택: 대중교통(지하철, 버스) 이용 시 최대 20% 할인, 커피전문점 10% 할인, GS25 편의점 5% 할인
6. 해외사용: 불가능
7. 추천 이유: 대중교통, 커피, 편의점 할인 혜택이 매우 유용하며 연회비가 없어 대학생에게 부담이 적습니다.","1. 카드명: 땡겨요 신한카드 체크(라이더형)  
2. 카드사: 신한카드  
3. 카드종류: 체크  
4. 전월실적: 전월실적 없음  
5. 혜택: 편의점 이용금액 마이신한포인트 0.2% 추가 적립  
6. 해외사용: 국내전용 없음 / 해외겸용 없음  
7. 추천 이유: 이 카드는 전월 실적이 없어서 실적 부담이 없는 점이 가장 큰 장점입니다. 대학생으로서 수입이 불규칙한 상황에서 부담 없이 사용할 수 있습니다. 또한, 편의점 도시락을 자주 이용하는 소비 패턴에 맞춰 편의점에서의 추가 적립 혜택이 있어, 카공족으로서 커피와 간단한 식사를 해결하는 데 유용합니다.",,
