시나리오_ID,ITERATION,페르소나,질문,Base_GPT_응답,RAG_시스템_응답,Human_Evaluation,만족도(상/중/하)
1,1,20대 알뜰 대학생(취준생),"실적 안 채워도 대중교통이랑 커피, 편의점 할인이 많이 되는 체크카드 추천해줘. 대학생이라 연회비 없는 게 좋아.","1. 카드명: 신한카드 The BEST 체크카드
2. 카드사: 신한카드
3. 카드종류: 체크카드
4. 전월실적: -
5. 혜택: 대중교통(지하철, 버스) 할인 및 커피, 편의점 할인 제공
6. 해외사용: 불가능
7. 추천 이유: 대중교통 이용 시 할인 혜택과 커피, 편의점 할인이 많이 되는 체크카드로 연회비가 없어 대학생에게 적합합니다.","1. 카드명: 땡겨요 신한카드 체크(라이더형)
2. 카드사: 신한카드
3. 카드종류: 체크
4. 전월실적: 전월실적 없음
5. 혜택: 편의점 이용금액 마이신한포인트 0.2% 추가 적립
6. 해외사용: 국내전용 없음 / 해외겸용 없음
7. 추천 이유: 전월 실적이 없어서 부담 없이 사용할 수 있으며, 편의점 할인 혜택이 있어 도시락을 자주 이용하는 대학생에게 적합합니다. 대중교통 할인은 없지만, 커피 전문점 할인 혜택이 있는 다른 카드와 비교했을 때 실적 부담이 없다는 점에서 추천합니다.",,
1,2,20대 알뜰 대학생(취준생),"실적 안 채워도 대중교통이랑 커피, 편의점 할인이 많이 되는 체크카드 추천해줘. 대학생이라 연회비 없는 게 좋아.","1. 카드명: 신한카드 The BEST 체크카드
2. 카드사: 신한카드
3. 카드종류: 체크
4. 전월실적: 전월실적 미입력 가능
5. 혜택: 대중교통(지하철, 버스) 이용 시 최대 20% 할인, 커피전문점 10% 할인, GS25 편의점 5% 할인
6. 해외사용: 해외 사용 가능
7. 추천 이유: 연회비가 없으며, 대중교통, 커피전문점, 편의점 할인 혜택이 매우 유용하고 대학생들에게 적합한 카드입니다. 전월실적을 채우지 않아도 혜택을 받을 수 있어 부담이 적습니다.","1. 카드명: 땡겨요 신한카드 체크(라이더형)
2. 카드사: 신한카드
3. 카드종류: 체크
4. 전월실적: 전월실적 없음
5. 혜택: 편의점 이용금액 마이신한포인트 0.2% 추가 적립
6. 해외사용: 국내전용 없음 / 해외겸용 없음
7. 추천 이유: 전월 실적이 없어서 부담 없이 사용할 수 있으며, 편의점에서의 소액 적립이 가능합니다. 대중교통 할인 혜택은 없지만, 실적 부담이 없는 점에서 대학생에게 적합합니다.",,
1,3,20대 알뜰 대학생(취준생),"실적 안 채워도 대중교통이랑 커피, 편의점 할인이 많이 되는 체크카드 추천해줘. 대학생이라 연회비 없는 게 좋아.","1. 카드명: 신한카드 The BEST 체크카드
2. 카드사: 신한카드
3. 카드종류: 체크카드
4. 전월실적: 실적 미입력 가능
5. 혜택: 
   - 대중교통 할인: 지하철, 버스, 택시 이용 시 최대 20% 할인
   - 커피 할인: 스타벅스, 이디야, 빽다방, 투썸플레이스 등 커피 전문점에서 최대 20% 할인
   - 편의점 할인: GS25, CU, 세븐일레븐, 이마트24 등 편의점에서 최대 20% 할인
6. 해외사용: 해외 이용 가능
7. 추천 이유: 대중교통, 커피, 편의점 할인 혜택이 매우 다양하고 대학생들에게 연회비가 없어 부담이 없습니다. 또한, 실적을 채우지 않아도 혜택을 받을 수 있어 편리합니다.","1. 카드명: 카드의정석 오하CHECK
2. 카드사: 우리카드
3. 카드종류: 체크
4. 전월실적: 전월실적 20만원 이상
5. 혜택: [오늘 하루 EAT] 커피 5% 캐시백, [오늘 하루 LIFE] 대중교통(버스/지하철) 5% 캐시백
6. 해외사용: 국내전용 없음 / 해외겸용 없음
7. 추천 이유: 이 카드는 대중교통과 커피에 대한 캐시백 혜택이 있어, 매일 대중교통을 이용하고 카페를 자주 방문하는 대학생에게 적합합니다. 전월 실적이 20만원 이상이지만, 실적 부담이 적고 연회비가 없어서 알뜰한 소비를 원하는 20대 대학생에게 유리합니다.",,
1,4,20대 알뜰 대학생(취준생),"실적 안 채워도 대중교통이랑 커피, 편의점 할인이 많이 되는 체크카드 추천해줘. 대학생이라 연회비 없는 게 좋아.","1. 카드명: 신한카드 The BEST 체크카드
2. 카드사: 신한카드
3. 카드종류: 체크카드
4. 전월실적: 연회비 없음
5. 혜택: 대중교통(지하철, 버스) 할인, 커피전문점 할인, GS25 편의점 할인
6. 해외사용: 해외 사용 불가
7. 추천 이유: 대중교통, 커피전문점, 편의점에서 할인 혜택이 많고 연회비가 없어 대학생에게 적합한 체크카드입니다.","1. 카드명: 땡겨요 신한카드 체크(라이더형)
2. 카드사: 신한카드
3. 카드종류: 체크
4. 전월실적: 전월실적 없음
5. 혜택: 편의점 이용금액 마이신한포인트 0.2% 추가 적립
6. 해외사용: 국내전용 없음 / 해외겸용 없음
7. 추천 이유: 전월 실적이 없어서 부담 없이 사용할 수 있으며, 편의점에서의 적립 혜택이 있어 도시락을 자주 이용하는 대학생에게 유리합니다. 대중교통 혜택은 없지만, 실적 부담 없이 다양한 소비를 할 수 있는 점이 매력적입니다.",,
1,5,20대 알뜰 대학생(취준생),"실적 안 채워도 대중교통이랑 커피, 편의점 할인이 많이 되는 체크카드 추천해줘. 대학생이라 연회비 없는 게 좋아.","1. 카드명: 신한카드 The BEST 체크카드
2. 카드사: 신한카드
3. 카드종류: 체크
4. 전월실적: 미입력 가능
5. 혜택: 대중교통 이용 시 최대 20% 할인, 커피전문점 10% 할인, GS25 편의점 5% 할인
6. 해외사용: 불가능
7. 추천 이유: 연회비가 없고, 대중교통, 커피전문점, 편의점 할인 혜택이 매우 유용하며 대학생들에게 적합한 카드입니다.","1. 카드명: 땡겨요 신한카드 체크(라이더형)
2. 카드사: 신한카드
3. 카드종류: 체크
4. 전월실적: 전월실적 없음
5. 혜택: 편의점 이용금액 마이신한포인트 0.2% 추가 적립
6. 해외사용: 국내전용 없음 / 해외겸용 없음
7. 추천 이유: 전월 실적이 없어서 부담 없이 사용할 수 있으며, 편의점 할인 혜택이 있어 도시락을 자주 이용하는 대학생에게 적합합니다. 대중교통 할인은 없지만, 편의점에서의 소소한 적립이 도움이 될 것입니다.",,
1,6,20대 알뜰 대학생(취준생),"실적 안 채워도 대중교통이랑 커피, 편의점 할인이 많이 되는 체크카드 추천해줘. 대학생이라 연회비 없는 게 좋아.","1. 카드명: 신한카드 The 즉시체크 체크카드
2. 카드사: 신한카드
3. 카드종류: 체크
4. 전월실적: 미입력
5. 혜택: 대중교통 할인 및 커피, 편의점 할인 제공
6. 해외사용: 불가능
7. 추천 이유: 연회비가 없으며, 대중교통 할인 및 커피, 편의점 할인 혜택이 많이 제공되어 대학생에게 적합한 체크카드입니다.","1. 카드명: 땡겨요 신한카드 체크(라이더형)
2. 카드사: 신한카드
3. 카드종류: 체크
4. 전월실적: 전월실적 없음
5. 혜택: 편의점 이용금액 마이신한포인트 0.2% 추가 적립
6. 해외사용: 국내전용 없음 / 해외겸용 없음
7. 추천 이유: 전월 실적이 없고, 편의점 이용 시 적립 혜택이 있어 자주 이용하는 편의점 도시락 구매 시 유용합니다. 대중교통 할인은 없지만, 실적 부담 없이 사용할 수 있는 점이 대학생에게 적합합니다.",,
1,7,20대 알뜰 대학생(취준생),"실적 안 채워도 대중교통이랑 커피, 편의점 할인이 많이 되는 체크카드 추천해줘. 대학생이라 연회비 없는 게 좋아.","1. 카드명: 신한카드 The BEST 체크
2. 카드사: 신한카드
3. 카드종류: 체크
4. 전월실적: -
5. 혜택: 대중교통(지하철, 버스) 할인 및 커피, 편의점 할인 제공
6. 해외사용: 불가능
7. 추천 이유: 연회비가 없으며, 대중교통 이용 시 할인 혜택과 커피, 편의점 할인 혜택이 많이 제공되어 대학생들에게 적합한 체크카드입니다.","1. 카드명: 땡겨요 신한카드 체크(라이더형)
2. 카드사: 신한카드
3. 카드종류: 체크
4. 전월실적: 전월실적 없음
5. 혜택: 편의점 이용금액 마이신한포인트 0.2% 추가 적립
6. 해외사용: 국내전용 없음 / 해외겸용 없음
7. 추천 이유: 전월 실적이 없어서 부담 없이 사용할 수 있으며, 편의점 이용 시 추가 적립 혜택이 있어 자주 이용하는 도시락 구매에 유리합니다. 대중교통 할인은 없지만, 실적 부담이 없고 편의점 혜택이 있어 대학생에게 적합합니다.",,
1,8,20대 알뜰 대학생(취준생),"실적 안 채워도 대중교통이랑 커피, 편의점 할인이 많이 되는 체크카드 추천해줘. 대학생이라 연회비 없는 게 좋아.","1. 카드명: Toss 체크카드
2. 카드사: Viva Republica
3. 카드종류: 체크
4. 전월실적: 실적 미입력 가능
5. 혜택: 대중교통 할인, 커피 및 편의점 할인
6. 해외사용: 가능
7. 추천 이유: Toss 체크카드는 대중교통 할인 혜택과 커피, 편의점 할인 혜택이 매우 다양하게 제공되며, 연회비가 없어 대학생에게 부담이 적습니다. 또한, 전월실적을 채우지 않아도 혜택을 받을 수 있어 학생들에게 추천드립니다.","1. 카드명: 땡겨요 신한카드 체크(라이더형)
2. 카드사: 신한카드
3. 카드종류: 체크
4. 전월실적: 전월실적 없음
5. 혜택: 편의점 이용금액 마이신한포인트 0.2% 추가 적립
6. 해외사용: 국내전용 없음 / 해외겸용 없음
7. 추천 이유: 전월 실적이 없어서 부담 없이 사용할 수 있으며, 편의점 할인 혜택이 있어 도시락을 자주 이용하는 대학생에게 적합합니다. 대중교통 할인은 없지만, 다른 카드와 함께 사용하면 좋습니다.",,
1,9,20대 알뜰 대학생(취준생),"실적 안 채워도 대중교통이랑 커피, 편의점 할인이 많이 되는 체크카드 추천해줘. 대학생이라 연회비 없는 게 좋아.","1. 카드명: 신한카드 The BEST 체크카드
2. 카드사: 신한카드
3. 카드종류: 체크
4. 전월실적: 실적 미입력 가능
5. 혜택: 대중교통(지하철, 버스) 할인 및 커피, 편의점 할인 제공
6. 해외사용: 해외 사용 불가
7. 추천 이유: 연회비가 없고, 대중교통 및 일상 소비처에서 할인 혜택을 받을 수 있는 체크카드로 대학생에게 적합합니다. 실적을 채우지 않아도 혜택을 누릴 수 있어 편리합니다.","1. 카드명: 카드의정석 오하CHECK
2. 카드사: 우리카드
3. 카드종류: 체크
4. 전월실적: 전월실적 20만원 이상
5. 혜택: [오늘 하루 EAT] 커피 5% 캐시백, [오늘 하루 LIFE] 대중교통(버스/지하철) 5% 캐시백
6. 해외사용: 국내전용 없음 / 해외겸용 없음
7. 추천 이유: 이 카드는 대중교통과 커피에 대한 캐시백 혜택이 있어, 매일 대중교통을 이용하고 카페를 자주 방문하는 대학생에게 적합합니다. 전월 실적이 20만원 이상이지만, 실적 부담이 적고 연회비가 없어서 알뜰한 소비를 원하는 사용자에게 유리합니다.",,
1,10,20대 알뜰 대학생(취준생),"실적 안 채워도 대중교통이랑 커피, 편의점 할인이 많이 되는 체크카드 추천해줘. 대학생이라 연회비 없는 게 좋아.","1. 카드명: 신한카드 The BEST 체크카드
2. 카드사: 신한카드
3. 카드종류: 체크
4. 전월실적: 연회비 없음
5. 혜택: 
   - 대중교통 할인: 지하철, 버스, 택시 이용 시 최대 20% 할인
   - 커피 할인: 스타벅스, 이디야, 투썸플레이스 등 커피 전문점에서 최대 30% 할인
   - 편의점 할인: GS25, CU, 세븐일레븐 등 편의점에서 최대 30% 할인
6. 해외사용: 해외 사용 가능
7. 추천 이유: 연회비가 없고, 대중교통, 커피, 편의점 할인 혜택이 풍부하여 대학생의 일상 소비에 매우 유용한 체크카드입니다.","1. 카드명: 땡겨요 신한카드 체크(라이더형)
2. 카드사: 신한카드
3. 카드종류: 체크
4. 전월실적: 전월실적 없음
5. 혜택: 편의점 이용금액 마이신한포인트 0.2% 추가 적립
6. 해외사용: 국내전용 없음 / 해외겸용없음
7. 추천 이유: 전월 실적이 없어서 부담 없이 사용할 수 있으며, 편의점 할인 혜택이 있어 도시락을 자주 이용하는 대학생에게 적합합니다. 대중교통 할인은 없지만, 편의점에서의 적립이 유용할 것입니다.",,
